Eng/外文,台灣用語,中國用語/其他,google翻譯狀態,類型,google 超連結,方便回報複製用,,,Google Translate Result (EN to zh-tw),簡易比對用語
Work from home,在家工作,在家里工作,未改,日常用語,Work from home,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""在家工作"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,在家里工作,待努力
sensor,感測器,傳感器,未改,科技術語,sensor,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""感測器"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,傳感器,待努力
ICU,加護病房,重症監護病房,未改,醫療,ICU,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""加護病房"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,ICU,待努力
multimeter,三用電表,萬用表,未改,科技術語,multimeter,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""三用電表"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,萬用表,待努力
marriage certificate,結婚證書,結婚證,未改,日常用語,marriage certificate,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""結婚證書"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,結婚證,待努力
LED,發光二極體,發光二極管,未改,科技術語,LED,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""發光二極體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,發光二極管,待努力
Integrated circuit,積體電路,集成電路,未改,科技術語,Integrated circuit,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""積體電路"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,集成電路,待努力
convenience store,便利商店/超商,便利店,未改,日常用語,convenience store,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""便利商店/超商"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,便利店,待努力
interface,介面,接口,未改,科技術語,interface,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""介面"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,接口,待努力
cloud drive,雲端硬碟,雲盤,未改,科技術語,cloud drive,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""雲端硬碟"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,雲驅動器,待努力
hand warmer,暖暖包,暖手寶,未改,日常用語,hand warmer,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""暖暖包"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,暖手寶,待努力
engine,引擎,發動機,未改,科技術語,engine,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""引擎"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,發動機,待努力
create an account,建立一個帳戶,創建一個帳戶,未改,科技術語,create an account,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""建立一個帳戶"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,創建一個帳戶,待努力
high resolution,高解析度,高分辨率,未改,科技術語,high resolution,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""高解析度"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,高分辨率,待努力
create a password,建立一個密碼,創建一個密碼,未改,科技術語,create a password,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""建立一個密碼"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,創建一個密碼,待努力
components,零件,組件,未改,日常用語,components,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""零件"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,組件,待努力
COVID-19,中國武漢肺炎,新冠肺炎,未改,醫療,COVID-19,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""中國武漢肺炎"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,新冠肺炎,待努力
SARS,嚴重急性呼吸道症候群,非典,未改,醫療,SARS,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""嚴重急性呼吸道症候群"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,SARS,待努力
Private message,私訊,私信,未改,科技術語,Private message,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""私訊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,私人信息,待努力
alley,巷弄,胡同,未改,日常用語,alley,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""巷弄"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,胡同,待努力
leave without pay,留職停薪,保值停薪,未改,日常用語,leave without pay,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""留職停薪"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,停薪留職,待努力
scalper,黃牛,票販子,OK,日常用語,scalper,狀態OK,,,黃牛,有成...?
unemployed,失業,下崗,未改,日常用語,unemployed,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""失業"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,失業的,待努力
rumor,造謠,波髒水,未改,日常用語,rumor,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""造謠"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,謠言,待努力
model,模範,模板,未改,日常用語,model,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""模範"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,模型,待努力
draft beer,生啤酒,扎啤,未改,食品/動植物,draft beer,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""生啤酒"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,扎啤酒,待努力
popsicle,冰棒,冰棍,未改,食品/動植物,popsicle,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""冰棒"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,棒冰,待努力
shampoo and conditioner,洗髮精和潤髮乳,洗髮水和護髮素,未改,日常用語,shampoo and conditioner,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""洗髮精和潤髮乳"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,洗髮水和護髮,待努力
adapter,轉接頭,適配器,未改,科技術語,adapter,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""轉接頭"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,適配器,待努力
mouse pad,滑鼠墊,鼠標墊,未改,科技術語,mouse pad,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""滑鼠墊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,鼠標墊,待努力
mouse,滑鼠,鼠標,未改,科技術語,mouse,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""滑鼠"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,老鼠,待努力
shampoo,洗髮精,洗髮水,未改,日常用語,shampoo,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""洗髮精"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,洗頭,待努力
video,影片,視頻,未改,日常用語,video,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""影片"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,視頻,待努力
row,列,行,未改,,row,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""列"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,行,待努力
column,行,列,未改,,column,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""行"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,柱,待努力
coding,寫程式,編碼,未改,,coding,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""寫程式"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,編碼,待努力
link,連結,鍵接,未改,,link,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""連結"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,鏈接,待努力
data,資料,數據,未改,,data,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""資料"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,數據,待努力
Band aid,ok繃,創可貼,未改,,Band aid,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""ok繃"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,創可貼,待努力
Server,伺服器,服務器,未改,,Server,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""伺服器"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,服務器,待努力
cursor,游標,光標,未改,,cursor,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""游標"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,光標,待努力
president,總統,主席,未改,,president,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""總統"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,主席,待努力
dink,頂客,丁客,未改,,dink,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""頂客"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,丁克,待努力
Could you call a taxi for us?,你能幫我們叫計程車嗎,你能幫我們打車嗎？,未改,日常用語,Could you call a taxi for us?,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""你能幫我們叫計程車嗎"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,你可以叫出租車給我們？,待努力
Maker,製造者,創客,未改,,Maker,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""製造者"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,製作者,待努力
object oriented,物件導向,面向對象,未改,,object oriented,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""物件導向"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,面向對象,待努力
OS,作業系統,操作系統,未改,,OS,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""作業系統"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,OS,待努力
channel,管道,渠道,未改,,channel,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""管道"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,渠道,待努力
Marketing Channel,行銷通路,營銷渠道,未改,,Marketing Channel,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""行銷通路"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,營銷渠道,待努力
top-up,儲值,充值,未改,,top-up,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""儲值"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,補足,待努力
digital,數位,數字,未改,,digital,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""數位"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,數字,待努力
President Trump,川普總統,特朗普總統,未改,,President Trump,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""川普總統"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,特朗普總統,待努力
activate,啟動、活化、啟用,激活,OK,科技術語,activate,狀態OK,,,啟用,待努力
owner,擁有者、所有權人,所有者,未改,,owner,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""擁有者、所有權人"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,所有者,待努力
euphonium,上低音號,中音號,未改,,euphonium,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""上低音號"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,次中音號,待努力
contrabassoon,倍低音管,低音大管,未改,,contrabassoon,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""倍低音管"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,低音管,待努力
Sibelius,西貝流士,西貝柳斯,未改,,Sibelius,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""西貝流士"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,西貝柳斯,待努力
tearful,淚流滿面,內牛滿面,未改,,tearful,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""淚流滿面"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,內牛滿面,待努力
Strauss,史特勞斯,施特劳斯,未改,,Strauss,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""史特勞斯"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,斯特勞斯,待努力
Hindemith,亨德密特,欣德米特,未改,,Hindemith,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""亨德密特"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,欣德米特,待努力
Viola Concerto ‘Der Schwanendreher’,中提琴協奏曲「烤天鵝的人」,中提琴協奏曲「天鵝轉子」,未改,藝文(書籍/影視),Viola Concerto ‘Der Schwanendreher’,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""中提琴協奏曲「烤天鵝的人」"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,中提琴協奏曲“天鵝德雷爾”,待努力
drip,打點滴,輸液、吊水,未改,醫療,drip,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""打點滴"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,滴,待努力
mini,迷你,微型,未改,日常用語,mini,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""迷你"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,微型,待努力
ricecooker,電鍋,電飯鍋,未改,日常用語,ricecooker,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""電鍋"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,電飯鍋,待努力
Joystick,搖桿,遊戲桿,未改,,Joystick,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""搖桿"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,遊戲桿,待努力
data bus,匯流排,數據總線,未改,科技術語,data bus,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""匯流排"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,數據總線,待努力
ship date,出貨日期,發貨日期,未改,,ship date,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""出貨日期"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,發貨日期,待努力
algorithm,演算法,算法,未改,,algorithm,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""演算法"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,算法,待努力
Bali,峇里島,里島,未改,,Bali,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""峇里島"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,巴厘島,待努力
north korea,北韓,北朝鮮,未改,國名/地名,north korea,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""北韓"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,北朝鮮,待努力
Submit,送出,提交,未改,,Submit,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""送出"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,提交,待努力
Matte varnish,消光金油,哑光清漆,未改,,Matte varnish,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""消光金油"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,啞光清漆,待努力
Blood donation,捐血,獻血,未改,醫療,Blood donation,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""捐血"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,獻血,待努力
Workout,健身,鍛鍊,未改,運動,Workout,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""健身"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,鍛煉,待努力
Koran,可蘭經,古蘭經,未改,藝文(書籍/影視),Koran,,,,,
Johnson,強森,約翰遜,未改,人名,Johnson,,,,,